Program,Lokasi,Penerima Manfaat,Objective,KPI,TPB/SDG's,Anggaran,Realisasi
PLTS IRIGASI,"Tanjung Enim Mining Site,
Tarahan Port.
Ombilin Mining Site",Kelompok Tani / Petani Sawah Tadah Hujan,"Meningkatkan produktivitas pertanian melalui pemanfaatan energi terbarukan berupa PLTS untuk sistem pompa irigasi guna menjamin ketersediaan air secara efisien, hemat biaya, dan ramah lingkungan melalui kegiatan:
- Pembangunan unit PLTS pompa irigasi 
- Pelatihan operasional dan perawatan sistem bagi kelompok tani
- Penguatan kelembagaan kelompok dalam pengelolaan aset bersama","Unit PLTS irigasi beroperasi dengan tingkat utilisasi ≥85%
Peningkatan indeks pertanaman (IP) dari 1x menjadi 2–3x tanam per tahun
",TPB 7 Energi Bersih dan Terjangkau,"Anggara PLTS
Rp1.766.000.000-","Rp139.286.026,-"
BUDIDAYA MAGGOT,"Tanjung Enim Mining Site
",Kelompok Pemuda / Eks Pekerja PETI,"Meningkatkan kemandirian ekonomi masyarakat melalui pengelolaan sampah organik berbasis budidaya maggot (BSF) sebagai sumber pakan alternatif dan produk bernilai tambah melalui kegiatan:
- Pelatihan budidaya maggot dan manajemen limbah organik
- Pembangunan rumah maggot komunal 
- Pendampingan produksi dan pemasaran maggot segar/kering
- Integrasi hasil maggot sebagai pakan ternak (ayam/puyuh/ikan)","Pengolahan minimal 1 ton limbah organik per bulan
Produksi maggot minimal 100-150 kg/bulan
Terbentuk 1 unit usaha mandiri berbasis ekonomi sirkular","TPB 8 Pekerjaan Layak dan Pertumbuhan Ekonomi
","Anggaran Desa Impian
(Rp200.000.000)","Rp.0,-"
BUDIDAYA IKAN AIR TAWAR,"Tanjung Enim Mining Site
",Kelompok Pemuda / Eks Pekerja PETI,"Meningkatkan ketahanan pangan dan pendapatan masyarakat melalui pengembangan usaha budidaya ikan air tawar berbasis kelompok yang produktif dan berkelanjutan melalui kegiatan:
- Pelatihan teknis budidaya ikan air tawar (lele/nila/patin/gurame/gabus) 
- Pembangunan unit kolam
- Pendampingan manajemen pakan, kualitas air, dan panen
- Penguatan akses pasar dan kemitraan penjualan hasil panen","Unit kolam aktif dengan tingkat kelangsungan hidup  ≥80%
Penjualan minimal 250 kg ikan perbulan
Terjalin minimal 3 mitra pembeli tetap (pasar, pengepul, rumah makan)",TPB 8 Pekerjaan Layak dan Pertumbuhan Ekonomi,"Anggaran Desa Impian
(Rp200.000.000)","Rp.0,-"
SIBA PEMBIBITAN,"Tanjung Enim Mining Site
",Kelompok Pemuda / Eks Pekerja PETI,"Meningkatkan kemandirian ekonomi masyarakat melalui pengembangan sentra pembibitan tanaman hortikultura dan tanaman produktif sebagai unit usaha berkelanjutan serta penyedia bibit unggul lokal melalui kegiatan:
- Pembangunan unit rumah pembibitan (greenhouse/shade net)
- Pelatihan teknik perbanyakan (stek, cangkok, okulasi, semai) 
- Pendampingan manajemen usaha dan pemasaran bibit","Peningkatan penjualan bibit minimal 1.000 bibit per bulan
Tingkat keberhasilan tumbuh bibit ≥85%
Terbentuk unit usaha pembibitan mandiri berbadan hukum/kelompok
Terjalin kerja sama dengan perusahaan tambang dan sekolah",TPB 8 Pekerjaan Layak dan Pertumbuhan Ekonomi,"Anggaran Desa Impian
(Rp200.000.000)","Rp.0,-"
BUDIDAYA PUYUH PETELUR SELEMAN,"Tanjung Enim Mining Site
",Kelompok Pemuda / Eks Pekerja PETI,"Peningkatan kapasitas ekonomi masyarakat melalui pengembangan usaha budidaya puyuh petelur berbasis kelompok agar produktif, berkelanjutan, dan memiliki akses pasar yang stabil melalui kegiatan:
- Pelatihan teknis budidaya puyuh petelur 
- Pembangunan dan penguatan unit kandang produksi
- Pendampingan manajemen usaha dan pemasaran telur puyuh
- Peningkatan produksi hingga rata-rata 80% tingkat produktivitas","Produksi minimal 20.000 butir per bulan
Terjalinnya minimal 3 mitra pemasaran tetap.",TPB 8 Pekerjaan Layak dan Pertumbuhan Ekonomi,"Anggaran PPM PETI (Budidaya Puyuh Petelur)
Rp550.000.000","Rp.0,-"
BUDIDAYA PUYUH PETELUR DARMO,"Tanjung Enim Mining Site
",Kelompok Pemuda / Eks Pekerja PETI,"Peningkatan kapasitas ekonomi masyarakat melalui pengembangan usaha budidaya puyuh petelur berbasis kelompok agar produktif, berkelanjutan, dan memiliki akses pasar yang stabil melalui kegiatan:
- Pelatihan teknis budidaya puyuh petelur 
- Pembangunan dan penguatan unit kandang produksi
- Pendampingan manajemen usaha dan pemasaran telur puyuh
- Peningkatan produksi hingga rata-rata 80% tingkat produktivitas","Produksi minimal 170.000 per bulan
Terjalinnya minimal 3 mitra pemasaran tetap ",TPB 8 Pekerjaan Layak dan Pertumbuhan Ekonomi,"Anggaran PPM PETI (Budidaya Puyuh Petelur)
Rp550.000.000","Rp.0,-"
ECOGROW MOM KWT UTUN MAKMUR,"Tanjung Enim Mining Site
",Kelompok Pemuda / Eks Pekerja PETI,"Meningkatkan pemberdayaan ekonomi perempuan melalui penguatan kapasitas Kelompok Wanita Tani (KWT) dalam budidaya hortikultura, pengolahan hasil pertanian, dan pengelolaan usaha berbasis pekarangan secara berkelanjutan melalui kegiatan:
- Pelatihan budidaya sayuran pekarangan dan urban farming bagi  ibu rumah tangga
- Pengembangan demplot terpadu dan optimalisasi pekarangan rumah
- Pendampingan manajemen usaha, pencatatan keuangan, dan pemasaran",">15 anggota KWT aktif dan produktif
Produksi sayuran dari lahan terpadu & pekarangan
Peningkatan pendapatan anggota ",TPB 8 Pekerjaan Layak dan Pertumbuhan Ekonomi,"Anggaran Desa Impian
(Rp200.000.000)","Rp.0,-"
POKTAN CAHAYA TANI,"Tanjung Enim Mining Site
",Kelompok Pemuda / Eks Pekerja PETI,"Meningkatkan pemberdayaan ekonomi perempuan melalui penguatan kapasitas Kelompok Wanita Tani (KWT) dalam budidaya hortikultura, pengolahan hasil pertanian, dan pengelolaan usaha berbasis pekarangan secara berkelanjutan melalui kegiatan:
- Pelatihan budidaya sayuran pekarangan dan urban farming bagi  ibu rumah tangga
- Pengembangan demplot terpadu dan optimalisasi pekarangan rumah
- Pendampingan manajemen usaha, pencatatan keuangan, dan pemasaran",">5 anggota aktif dan produktif
Produksi sayuran dari lokasi pembibitan
Peningkatan pendapatan anggota ",TPB 8 Pekerjaan Layak dan Pertumbuhan Ekonomi,"Anggaran Desa Impian
(Rp200.000.000)","Rp.0,-"
BUDIDAYA ITIK PETELUR,"Tanjung Enim Mining Site
",Kelompok Pemuda / Eks Pekerja PETI,"Meningkatkan pendapatan dan ketahanan pangan masyarakat melalui pengembangan usaha budidaya itik petelur berbasis kelompok yang produktif dan berkelanjutan melalui kegiatan:
- Pelatihan teknis budidaya itik petelur
- Pengadaan ekor itik petelur fase starter/grower
- Pembangunan kandang sistem komunal
- Pendampingan manajemen pakan, kesehatan ternak, dan pemasaran telur","Populasi aktif 500 ekor dengan tingkat produktivitas ≥75%
Produksi minimal 10.000 butir telur per bulan
Mortalitas ≤5% per siklus
Terjalin 3 mitra pembeli tetap.",TPB 8 Pekerjaan Layak dan Pertumbuhan Ekonomi,"Rp602.100.000,-","Rp.0,-"
SUSCOMDEV LINGKAR TAMBANG,"Tanjung Enim Mining Site
",Kelompok Pemuda / Eks Pekerja PETI,"Meningkatkan kemandirian ekonomi masyarakat lingkar tambang melalui pengembangan budidaya melon bernilai komersial berbasis kelompok dengan sistem pertanian modern (mulsa/greenhouse) yang produktif dan berkelanjutan melalui kegiatan:
- Pembangunan unit demplot budidaya melon
- Pelatihan Good Agricultural Practices (GAP) bagi petani binaan
- Penerapan sistem hidroponik dan penutrisian terukur
- Pendampingan manajemen usaha, branding, dan akses pasar modern","Tingkat keberhasilan panen ≥85%
Minimal 2 musim tanam per tahun
Peningkatan pendapatan petani 
Terjalin kontrak pembelian dengan  mitra/distributor",TPB 8 Pekerjaan Layak dan Pertumbuhan Ekonomi,"Rp1,035,900,000","Rp318,079,720.04"
SUSCOMDEV PRABUMENANG,"Tanjung Enim Mining Site
",Kelompok Pemuda / Eks Pekerja PETI,"Meningkatkan kapasitas dan pendapatan pelaku UMKM melalui pengembangan usaha produksi tempe berbasis kelompok dengan standar higienitas, efisiensi produksi, dan akses pasar yang lebih luas melalui kegiatan:
- Pelatihan Good Manufacturing Practices (GMP) dan manajemen usaha bagi
- Pengadaan peralatan produksi semi-modern (perendaman, pengukusan, fermentasi)
- Pendampingan legalitas usaha (NIB, P-IRT, sertifikasi halal)
- Penguatan branding, kemasan, dan akses pasar ritel lokal","Kapasitas produksi meningkat 
Memiliki legalitas usaha (NIB & P-IRT)
Peningkatan omzet 
Terjalin kerja sama dengan mitra distribusi ",TPB 8 Pekerjaan Layak dan Pertumbuhan Ekonomi,"Rp300.000.000,-","Rp.0,-"
BUDIDAYA RAS SYSTEM,"Tanjung Enim Mining Site
",Kelompok Pemuda / Eks Pekerja PETI,"Meningkatkan produktivitas dan efisiensi budidaya ikan air tawar melalui penerapan teknologi Recirculating Aquaculture System (RAS) yang hemat air, padat tebar tinggi, dan ramah lingkungan guna menciptakan unit usaha perikanan modern berbasis kelompok melalui kegiatan:
- Pembangunan unit instalasi RAS 
- Pelatihan teknis pengelolaan kualitas air, biofilter, dan manajemen pakan
- Pendampingan SOP operasional dan pencatatan produksi
- Penguatan akses pasar dan kontrak kemitraan","Survival Rate (SR) ≥85%
Produksi ikan konsumsi > 4 ton per siklus (4 bulan)
Produksi sayuran selada >400 kg per siklus (30 - 45 hari)
Penghematan penggunaan air ≥80% dibanding kolam konvensional
Peningkatan pendapatan kelompok minimal 35% per tahun",TPB 8 Pekerjaan Layak dan Pertumbuhan Ekonomi,"Rp1,444,500,000","Rp854,964,742"
PILOT PROJECT KALIUM HUMAT,"Tanjung Enim Mining Site
",Kelompok Tani / Petani Sawah Tadah Hujan,"Meningkatkan produktivitas pertanian dan efisiensi penggunaan pupuk melalui uji coba aplikasi Kalium Humat sebagai pembenah tanah dan stimulan pertumbuhan tanaman guna memperbaiki kualitas tanah, meningkatkan serapan hara, dan mendukung pertanian berkelanjutan melalui kegiatan:
- Demonstration plot (demplot) 
- Pelatihan aplikasi Kalium Humat dan pemupukan berimbang 
- Pengukuran parameter pertumbuhan (tinggi tanaman, jumlah daun, bobot panen)
- Analisis perbandingan hasil sebelum dan sesudah perlakuan","Kapasitas produksi meningkat >30%
Pengurangan biaya operasional >15%",TPB 7 Energi Bersih dan Terjangkau,"Anggara PLTS
Rp1.766.000.000-","Rp.0,-"
BA-MAXI,"Tanjung Enim Mining Site
Kertapati Port
Tarahan Port
Ombilin Mining Site",Kelompok Pemuda / Kelompok Tani,"Meningkatkan ketahanan ekosistem pesisir melalui rehabilitasi dan penanaman mangrove guna mencegah abrasi, meningkatkan keanekaragaman hayati, serta mendukung ekonomi masyarakat berbasis ekowisata dan perikanan berkelanjutan melalui kegiatan:
- Penanaman bibit mangrove di area terdampak abrasi
- Pembuatan demplot edukasi mangrove 
- Pelatihan perawatan dan monitoring mangrove bagi  masyarakat pesisir
- Pembentukan kelompok pengelola ekowisata mangrove","Tingkat kelangsungan hidup mangrove ≥80% dalam 1 tahun
Penurunan laju abrasi di titik intervensi (berdasarkan monitoring periodik)
Terbentuk kelompok pengelola konservasi aktif
Potensi tambahan pendapatan dari pembibitan mandiri",TPB 14 Ekosistem Lautan,"Rp200.000.000,-","Rp.0,-"
REVITALISASI TAMAN KEHATI BEDEGUNG,"Tanjung Enim Mining Site
",Kelompok Pemuda,"Meningkatkan fungsi konservasi, edukasi, dan ekonomi kawasan Taman Kehati Bedegung melalui revitalisasi infrastruktur, penguatan kelembagaan pengelola, dan pengembangan ekowisata berbasis masyarakat secara berkelanjutan melalui kegiatan:
- Penataan ulang jalur tracking, papan edukasi biodiversitas, dan fasilitas umum
- Rehabilitasi dan penambahan tanaman endemik/lokal unggulan",Revitalisasi minimal fasilitas utama kawasan,TPB 15 Ekosistem Daratan,"Rp300.000.000,-","Rp.0,-"
PENGEMBANGAN DESA SIRAH PULAU,"Tanjung Enim Mining Site
",Kelompok Rentan,"Meningkatkan kemandirian ekonomi masyarakat Desa Sirah Pulau melalui pengembangan usaha budidaya ayam petelur berbasis kelompok yang produktif, terstandar, dan berkelanjutan melalui kegiatan:
- Pembangunan kandang baterai komunal 
- Pelatihan teknis budidaya, manajemen pakan, dan kesehatan ternak 
- Pendampingan pencatatan keuangan dan SOP operasional
- Penguatan akses pasar (pasar tradisional, agen telur, UMKM kuliner)","Populasi aktif dengan tingkat produksi ≥85% 
Mortalitas ≤5% per siklus produksi
Peningkatan pendapatan 
Terjalin minimal mitra pembeli tetap",TPB 8 Pekerjaan Layak dan Pertumbuhan Ekonomi,"Rp1.067.500.000,-","Rp.0,-"